id,name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours,last_updated
a1f3a982-6c98-40a7-b7dc-a788f0651d43,Hougang/Hougang Avenue 2/Blk 707,1.366507,103.888389,707 Hougang Avenue 2,Bluecharge,2,TRUE,32,TRUE,2023-06-06 11:41:38.219974
55c547f1-b9a2-4d67-998a-f51077d17eef,Bedok/Bedok Reservoir Road/Blk 609,1.33135,103.912391,609 Bedok Reservoir Road,Bluecharge,1,TRUE,34,TRUE,2023-06-06 11:41:38.219974
8152ac85-d430-41ea-a075-d451632886d7,Jurong East/Jurong East Street 13/Blk 116,1.339583,103.734451,116 Jurong East Street 13,Bluecharge,0,TRUE,41,TRUE,2023-06-06 11:41:38.219974
518f6064-dc02-44ab-9c6f-ddb6a14ae6ef,Bukit Batok/Bukit Batok East Avenue 5/Blk 241A/Deck 1A,1.350931,103.755227,241A Bukit Batok East Avenue 5,Bluecharge,1,TRUE,54,TRUE,2023-06-06 11:41:38.219974
74eac25b-849a-4cf7-b3f9-0cb140232b65,Hougang/Hougang Street 31/Blk 373A/Deck B1B,1.362366,103.890053,373A Hougang Street 31,Bluecharge,1,TRUE,43,TRUE,2023-06-06 11:41:38.219974
7c56aa60-49a7-4885-8f42-23e88e6bc841,Pasir Ris/Pasir Ris Drive 6/Blk 417,1.372102,103.955033,417 Pasir Ris Drive 6,Bluecharge,1,TRUE,35,TRUE,2023-06-06 11:41:38.219974
66e7a184-ef20-4ea6-a65a-3c2df6c7a3cd,Serangoon/Serangoon Avenue 4/Blk 212,1.356934,103.873229,212 Serangoon Avenue 4,Bluecharge,2,TRUE,36,TRUE,2023-06-06 11:41:38.219974
f500a539-6dca-49e1-9777-5f40d4e6dacf,Hougang/Hougang Avenue 9/Blk 966A/Deck 1A,1.377891,103.877869,966A Hougang Avenue 9,Bluecharge,3,TRUE,41,TRUE,2023-06-06 11:41:38.219974
70167f52-ec33-4bb1-9310-99202c64b928,Sengkang/Anchorvale Street/Blk 329/Deck 1A,1.39634,103.889296,329 Anchorvale Street,Bluecharge,1,TRUE,42,TRUE,2023-06-06 11:41:38.219974
e670bebd-c667-49a8-877a-6ef24b0bc516,Choa Chu Kang/Choa Chu Kang Crescent/Blk 678A/Deck 1B,1.401978,103.74481,678A Choa Chu Kang Crescent,Bluecharge,2,TRUE,53,TRUE,2023-06-06 11:41:38.219974
c9ec55d7-c8c0-4b71-932a-6fb545c570a8,Ang Mo Kio/Ang Mo Kio Avenue 4/Blk 114,1.372293,103.836312,114 Ang Mo Kio Avenue 4,Bluecharge,0,TRUE,38,TRUE,2023-06-06 11:41:38.219974
f2fbca81-5737-4a34-9b7f-b8acbe244f50,Kallang/Bendemeer Road/Blk 10/Deck 1A,1.315203,103.860333,10 Bendemeer Road,Bluecharge,4,TRUE,37,TRUE,2023-06-06 11:41:38.219974
97bc08a8-b880-46be-8ab0-b9352a6ee57b,Ang Mo Kio/Ang Mo Kio Avenue 6/Blk 647,1.378898,103.843833,647 Ang Mo Kio Avenue 6,Bluecharge,3,TRUE,38,TRUE,2023-06-06 11:41:38.219974
74799e82-f479-4099-8e63-c481e08908fb,Bedok/Bedok North Street 3/Blk 534,1.333285,103.92394,534 Bedok North Street 3,Bluecharge,0,TRUE,34,TRUE,2023-06-06 11:41:38.219974
fa304626-4b9e-4ddf-bab1-ca5e09003b33,Queenstown/Commonwealth Drive/Blk 117 (Beside Blk 117 Open Space Carpark),1.306972,103.799566,117 Commonwealth Drive,Bluecharge,4,TRUE,73,TRUE,2023-06-06 11:41:38.219974
ffa622c7-4683-4f1c-8e68-23640325fb01,Kallang/Jalan Rajah/Blk 103,1.327411,103.852514,103 Jalan Rajah,Bluecharge,2,TRUE,27,TRUE,2023-06-06 11:41:38.219974
5f7c6809-13b0-4b14-b0cc-8ad7bc84833a,Bukit Batok/Bukit Batok Street 33/Blk 319,1.361125,103.746545,319 Bukit Batok Street 33,Bluecharge,3,TRUE,41,TRUE,2023-06-06 11:41:38.219974
8e681bc4-115f-4b93-8523-82b0ea3c9990,Bishan/Bishan Street 12/Blk 112,1.346756,103.848871,112 Bishan Street 12,Bluecharge,3,TRUE,31,TRUE,2023-06-06 11:41:38.219974
5d20b732-1dc5-4580-9c1b-cd60812bb928,Sengkang/Fernvale Street/Blk 472/Deck 1A,1.396952,103.881727,472 Fernvale Street,Bluecharge,0,TRUE,40,TRUE,2023-06-06 11:41:38.219974
845245bd-4bd5-43fe-93cd-41f2671784aa,Yishun/Yishun Street 51/Blk 513/Deck 2,1.415984,103.844221,513 Yishun Street 51,Bluecharge,0,TRUE,38,TRUE,2023-06-06 11:41:38.219974
479fcf92-8015-4fe0-9168-9da1c4a7e51e,Sengkang/Compassvale Road/Blk 203/Deck 1A,1.387328,103.895393,203 Compassvale Road,Bluecharge,1,TRUE,41,TRUE,2023-06-06 11:41:38.219974
4cbbb7ff-27a2-408e-ab14-eb82d9eed20f,Serangoon/Serangoon North Avenue 4/Blk 512A/Deck 1B,1.371005,103.8751,512A Serangoon North Avenue 4,Bluecharge,4,TRUE,51,TRUE,2023-06-06 11:41:38.219974
7cf2d372-8308-4158-a08d-beda18f25c7b,Ang Mo Kio/Ang Mo Kio Street 51/Blk 590/Deck 1A,1.371634,103.853064,590 Ang Mo Kio Street 51,Bluecharge,0,TRUE,47,TRUE,2023-06-06 11:41:38.219974
969c44e1-61e6-4a59-af28-380bba22a63f,Sengkang/Compassvale Walk/Blk 236A/Deck 1B,1.390343,103.900021,236A Compassvale Walk,Bluecharge,0,TRUE,42,TRUE,2023-06-06 11:41:38.219974
7a8b726b-9e61-457a-9067-41133409e46e,Queenstown/Ghim Moh Road/Blk 2A/Deck 1,1.312774,103.787393,2A Ghim Moh Road,Bluecharge,4,TRUE,38,TRUE,2023-06-06 11:41:38.219974
