id,id_charger,id_connector_type
cc8065fc-bd80-45ae-8ba1-0cd4987d4f57,5dcb26c1-f30d-4197-82d6-b0a982120c05,278328f8-570f-4c7d-ae38-dfd3b10a5664
422ff466-a326-42af-8650-1b477ed290d2,f84e59a5-c990-4af0-8b33-2269e217ff38,278328f8-570f-4c7d-ae38-dfd3b10a5664
13f60312-1bf1-42f0-af93-ddeb38b0f8bc,3e8be0d7-69cf-4beb-b324-fcc658abe8da,278328f8-570f-4c7d-ae38-dfd3b10a5664
28e62778-cf62-4aec-b132-207bc5ec6413,a86c4aa7-7ae7-4113-804b-c6857a01968d,278328f8-570f-4c7d-ae38-dfd3b10a5664
18bc5dc9-cfa8-49c8-bc76-9e77dff9e035,803a1d9b-0665-4168-8c26-054600322f76,278328f8-570f-4c7d-ae38-dfd3b10a5664
6e087c53-d3cd-4aea-990c-61e73b5c172e,8419a992-5c81-4110-9fb6-550ecd5e85e2,278328f8-570f-4c7d-ae38-dfd3b10a5664
22227915-1f89-462e-99bc-189c6aabe673,36569319-de4b-4683-a30c-16f6c780d02e,278328f8-570f-4c7d-ae38-dfd3b10a5664
38a25ab3-fc69-415f-99fd-cf01bc92d5ae,6e0b26b6-efc3-48d9-b1cd-be9da018079d,278328f8-570f-4c7d-ae38-dfd3b10a5664
49a1bfd9-3e2c-4b51-a12d-0d187ef886a9,4811d9e2-dfbd-4a6b-b4e5-d681608073ad,278328f8-570f-4c7d-ae38-dfd3b10a5664
af5eec37-a64d-4f38-8b2c-81cb2e2564f3,f6d55c80-3e3a-485d-adaa-254224e06de4,278328f8-570f-4c7d-ae38-dfd3b10a5664
8be563a0-8e3e-4645-8232-7d8071d0190a,ffb3c3fc-b7ae-46bc-a10d-ebf2f97a2ab3,278328f8-570f-4c7d-ae38-dfd3b10a5664
69760207-e2c4-4e8c-8e95-423f4e504e5c,a1f3a982-6c98-40a7-b7dc-a788f0651d43,278328f8-570f-4c7d-ae38-dfd3b10a5664
1697bdbe-ce98-4ccf-8837-91dc8a8f3a83,55c547f1-b9a2-4d67-998a-f51077d17eef,278328f8-570f-4c7d-ae38-dfd3b10a5664
e4f7ed10-a92a-46d5-a265-e77a5a5efe29,8152ac85-d430-41ea-a075-d451632886d7,278328f8-570f-4c7d-ae38-dfd3b10a5664
fa58766d-3a5c-4d87-8fca-120214059030,518f6064-dc02-44ab-9c6f-ddb6a14ae6ef,278328f8-570f-4c7d-ae38-dfd3b10a5664
7ae58110-ef19-4616-ba42-7f3955eda778,74eac25b-849a-4cf7-b3f9-0cb140232b65,278328f8-570f-4c7d-ae38-dfd3b10a5664
d58f7e00-4ee7-4f45-ab9a-749b2f4797aa,7c56aa60-49a7-4885-8f42-23e88e6bc841,278328f8-570f-4c7d-ae38-dfd3b10a5664
fdefe5a0-8bed-45da-8dea-6c6a69303bde,66e7a184-ef20-4ea6-a65a-3c2df6c7a3cd,278328f8-570f-4c7d-ae38-dfd3b10a5664
bf38a8b9-a4d2-42d8-8a41-6abbaed72a4d,f500a539-6dca-49e1-9777-5f40d4e6dacf,278328f8-570f-4c7d-ae38-dfd3b10a5664
b7d72bd2-6f27-4e6d-8fb4-f7831b1c930e,70167f52-ec33-4bb1-9310-99202c64b928,278328f8-570f-4c7d-ae38-dfd3b10a5664
f9dd39ab-4369-4055-a298-17a82c487c10,e670bebd-c667-49a8-877a-6ef24b0bc516,278328f8-570f-4c7d-ae38-dfd3b10a5664
1ef5f52a-3eba-4a64-b941-46c69bad99ce,c9ec55d7-c8c0-4b71-932a-6fb545c570a8,278328f8-570f-4c7d-ae38-dfd3b10a5664
388700d0-274d-49c0-a224-3a569298524e,f2fbca81-5737-4a34-9b7f-b8acbe244f50,278328f8-570f-4c7d-ae38-dfd3b10a5664
c6584b70-40ed-40a0-845d-f9c50bc743bb,97bc08a8-b880-46be-8ab0-b9352a6ee57b,278328f8-570f-4c7d-ae38-dfd3b10a5664
c567805a-091f-494c-aadb-c8227600c685,74799e82-f479-4099-8e63-c481e08908fb,278328f8-570f-4c7d-ae38-dfd3b10a5664
980c4cf0-5561-499d-a5cf-162348c1a0ba,fa304626-4b9e-4ddf-bab1-ca5e09003b33,278328f8-570f-4c7d-ae38-dfd3b10a5664
a6e9e1cd-d20a-4fc2-b5ba-753e9192ef05,ffa622c7-4683-4f1c-8e68-23640325fb01,278328f8-570f-4c7d-ae38-dfd3b10a5664
2058ff21-daf2-493a-9be6-d8cb15875ccf,5f7c6809-13b0-4b14-b0cc-8ad7bc84833a,278328f8-570f-4c7d-ae38-dfd3b10a5664
8b7a5451-348f-455e-a772-f3f861135ad0,8e681bc4-115f-4b93-8523-82b0ea3c9990,278328f8-570f-4c7d-ae38-dfd3b10a5664
40bdb782-904f-47bf-b958-69af31518f6b,5d20b732-1dc5-4580-9c1b-cd60812bb928,278328f8-570f-4c7d-ae38-dfd3b10a5664
21867005-0701-4a1b-88cb-a2d0af386bfd,845245bd-4bd5-43fe-93cd-41f2671784aa,278328f8-570f-4c7d-ae38-dfd3b10a5664
