name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours
Pasir Ris/Pasir Ris Street 71/Blk 762A/Deck 1A,1.376083,103.9333,762A Pasir Ris Street 71,Bluecharge,4,TRUE,46,TRUE
Bukit Merah/Bukit Purmei Road/Blk 109,1.273803,103.8258,109 Bukit Purmei Road,Bluecharge,3,TRUE,37,TRUE
Toa Payoh/Lorong 8 Toa Payoh/Blk 213,1.341068,103.8551,213 Lorong 8 Toa Payoh,Bluecharge,0,TRUE,36,TRUE
Choa Chu Kang/Choa Chu Kang Central/Blk 205,1.381051,103.7481,205 Choa Chu Kang Central,Bluecharge,0,TRUE,43,TRUE
Tampines/Tampines Street 22/Blk 299A,1.350399,103.95424,299A Tampines Street 22,Bluecharge,0,TRUE,36,TRUE
Clementi/Clementi West Street 2/Blk 727,1.304208,103.763558,727 Clementi West Street 2,Bluecharge,2,TRUE,39,TRUE
Bukit Merah/Henderson Road/Blk 96/Deck 1A,1.287793,103.821375,96 Henderson Road,Bluecharge,0,FALSE,41,TRUE
Bukit Batok/Bukit Batok West Avenue 5/Blk 436/Deck 1A,1.358769,103.739499,436 Bukit Batok West Avenue 5,Bluecharge,0,TRUE,53,TRUE
Tampines/Tampines Avenue 8/Blk 879C/Deck 1A,1.351144,103.928663,879C Tampines Avenue 8,Bluecharge,0,TRUE,43,TRUE
Punggol/Punggol Field/Blk 204/Deck B1,1.398494,103.90305,204 Punggol Field,Bluecharge,0,TRUE,37,TRUE
Bukit Merah/Telok Blangah Rise/Blk 32,1.273125,103.82106,32 Telok Blangah Rise,Bluecharge,4,TRUE,37,TRUE
Bedok/Bedok North Street 2/Blk 129,1.327761,103.93846,124 Bedok North Street 2,Bluecharge,1,TRUE,34,TRUE
Marine Parade/Marine Terrace/Blk 59,1.305782,103.914158,59 Marine Terrace,Bluecharge,0,TRUE,35,TRUE
Central/109 North Bridge Road/Funan Mall/Basement 3/Lift Lobby B,1.291599,103.849823,109 North Bridge Road,Bluecharge,4,TRUE,64,TRUE
Central/252 North Bridge Road/Raffles City/Deck B3,1.2939583,103.8526163,252 North Bridge Road,Bluecharge,4,TRUE,50,FALSE
Changi Airport Terminal 3,1.356457301,103.9865064,"65 Airport Boulevard, Singapore 819663",SPMobility,6,TRUE,25,FALSE
Asia Green,1.356211028,103.9416687,"7 Tampines Grande, Singapore 528736",SPMobility,3,TRUE,10,FALSE
I12 Katong,1.306001319,103.9050741,"112 East Coast Road, Singapore 428802",SPMobility,4,TRUE,10,FALSE
Marina Collection,1.244411641,103.8398206,13-17 Cove Drive Singapore 098327,SPMobility,2,TRUE,17,FALSE
Riverplace,1.2899956,103.8408745,60 Havelock Road Singapore 169658,SPMobility,2,TRUE,10,FALSE
Martin Place Residences,1.294386671,103.8382968,2 Martin Place Singapore 237988,SPMobility,3,TRUE,23,FALSE
South Beach Commercial,1.294456364,103.8561695,38 Beach Road Singapore 189762,SPMobility,4,TRUE,22,FALSE
South Beach Residential,1.294456364,103.8561695,38 Beach Road Singapore 189762,SPMobility,2,TRUE,23,FALSE
Asia Square Tower 2,1.278354467,103.8511218,"12 Marina View, Singapore 018961",SPMobility,4,TRUE,19,FALSE
Park Royal Kitchener,1.310692794,103.8556902,"181 Kitchener Road, Singapore 208533",SPMobility,4,TRUE,20,TRUE
Pan Pacific Serviced Suites Beach Road,1.299778225,103.8599838,"7500B Beach Road, Singapore 199592",SPMobility,2,TRUE,38,FALSE
Capitaspring,1.284193221,103.8502163,"88 Market St, Singapore 048948",SPMobility,4,TRUE,12,FALSE
