name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active
Choa Chu Kang/Choa Chu Kang Avenue 4/Lot one/Deck B2,1.38525,103.744922,21 Choa Chu Kang Avenue 4,true,0,0,0.52,,true
Sentosa/50 Beach View/Basement/Beach Station(Near Beach Station Escalator),1.251171,103.819188,50 Beach View,true,0,0,0.74,,true
Central/1 Esplanade Drive/Basement 1/Lift Lobby B,1.289691,103.85577,1 Esplanade Drive,true,0,0,0.49,,true
Sentosa/1 Cove Avenue/Sentosa Cove/Blk B/Level 2,1.247741,103.840256,"1 Cove Avenue, Sentosa Cove",true,0,0,0.48,,true
Central/3E River Valley Road/Clark Quay Blk E/Level 3,1.290715,103.846146,3E River Valley Road,true,0,0,0.53,,true
Kallang/Cambridge Road/Blk 43 (Opposite NTUC),1.314899,103.849479,43 Cambridge Road,true,0,0,0.45,,true
Ang Mo Kio/Ang Mo Kio Avenue 4/Blk 110,1.370557,103.837923,110 Ang Mo Kio Avenue 4,true,0,0,0.38,,true
Yishun/Yishun Ring Road/Blk 781,1.422343,103.832121,781 Yishun Ring Road,true,0,0,0.31,,true
Tampines/Simei Road/Blk 155,1.344756,103.958393,155 Simei Road,true,0,0,0.27,,true
Bukit Timah/170 Upper Bukit Timah Road (Infront Bukit Timah Shopping Centre),1.343312,103.775637,170 Upper Bukit Timah Road,true,0,0,0.76,,true
Hougang/Hougang Avenue 6/Blk 524,1.373931,103.890352,524 Hougang Avenue 6,true,0,0,0.32,,true
Ang Mo Kio/Ang Mo Kio Avenue 10/Blk 449,1.36805,103.8558,449 Ang Mo Kio Avenue 10,true,0,0,0.39,,true
Tampines/Tampines Street 72/Blk 742A/Deck 1A,1.359905,103.934176,742A Tampines Street 72,true,0,0,0.44,,true
Novena/Tan Tock Seng Hospital/Basement 4/Near Lift Lobby D,1.321282,103.84588,11 Jalan Tan Tock Seng,true,0,0,0.58,,true
Ang Mo Kio/Ang Mo Kio Avenue 8/Blk 510,1.373288,103.849485,510 Ang Mo Kio Avenue 8,true,0,0,0.38,,true
Ang Mo Kio/Ang Mo Kio Avenue 10/Blk 559,1.371022,103.857277,559 Ang Mo Kio Avenue 10,true,0,0,0.39,,true
Pasir Ris/Pasir Ris Street 12/Blk 108A/Deck 1A,1.367987,103.956949,108A Pasir Ris Street 12,true,0,0,0.46,,true
Woodlands/Woodlands Circle/Blk 747A/Deck 1A,1.443332,103.795599,747A Woodlands Circle,true,0,0,0.43,,true
Kallang/Saint George's Road/Blk 22,1.32537,103.862659,22 Saint George's Road,true,0,0,0.34,,true
Punggol/Edgedale Plains/Blk 172/Deck 1A,1.39557,103.911788,172 Edgedale Plains,true,0,0,0.39,,true
Bukit Panjang/Petir Road/Blk 140,1.375471,103.769068,140 Petir Road,true,0,0,0.32,,true
Jurong East/Jurong East Street 32/Blk 307,1.346612,103.734402,307 Jurong East Street 32,true,0,0,0.41,,true
Bedok/Chai Chee Street/Blk 53,1.328941,103.921295,53 Chai Chee Street,true,0,0,0.29,,true
Bedok/Bedok North Road/Blk 425,1.329159,103.92944,425 Bedok North Road,true,0,0,0.3,,true
Tampines/Tampines Street 11/Blk 107,1.348142,103.947926,107 Tampines Street 11,true,0,0,0.35,,true
Queenstown/Ghim Moh Link/Blk 24/Deck 1B,1.308908,103.785607,24 Ghim Moh Link,true,0,0,0.39,,true
Jurong West/Yung An Road/Blk 364/Deck 1A,1.337184,103.720457,364 Yung An Road,true,0,0,0.4,,true
Clementi/Clementi Avenue 3/Blk 440/Deck 1A,1.31642,103.76392,440 Clementi Avenue 3,true,0,0,0.42,,true
Yishun/Yishun Street 31/Blk 333/Deck 1A,1.43154,103.844951,333 Yishun Street 31,true,0,0,0.39,,true
Pasir Ris/Pasir Ris Street 71/Blk 762A/Deck 1A,1.376083,103.9333,762A Pasir Ris Street 71,true,0,0,0.46,,true
Bukit Merah/Bukit Purmei Road/Blk 109,1.273803,103.8258,109 Bukit Purmei Road,true,0,0,0.37,,true
Toa Payoh/Lorong 8 Toa Payoh/Blk 213,1.341068,103.8551,213 Lorong 8 Toa Payoh,true,0,0,0.36,,true
Choa Chu Kang/Choa Chu Kang Central/Blk 205,1.381051,103.7481,205 Choa Chu Kang Central,true,0,0,0.43,,true
Tampines/Tampines Street 22/Blk 299A,1.350399,103.95424,299A Tampines Street 22,true,0,0,0.36,,true
Clementi/Clementi West Street 2/Blk 727,1.304208,103.763558,727 Clementi West Street 2,true,0,0,0.39,,true
Bukit Merah/Henderson Road/Blk 96/Deck 1A,1.287793,103.821375,96 Henderson Road,true,0,0,0.41,,true
Bukit Batok/Bukit Batok West Avenue 5/Blk 436/Deck 1A,1.358769,103.739499,436 Bukit Batok West Avenue 5,true,0,0,0.53,,true
Tampines/Tampines Avenue 8/Blk 879C/Deck 1A,1.351144,103.928663,879C Tampines Avenue 8,true,0,0,0.43,,true
Punggol/Punggol Field/Blk 204/Deck B1,1.398494,103.90305,204 Punggol Field,true,0,0,0.37,,true
Bukit Merah/Telok Blangah Rise/Blk 32,1.273125,103.82106,32 Telok Blangah Rise,true,0,0,0.37,,true
Bedok/Bedok North Street 2/Blk 129,1.327761,103.93846,124 Bedok North Street 2,true,0,0,0.34,,true
Marine Parade/Marine Terrace/Blk 59,1.305782,103.914158,59 Marine Terrace,true,0,0,0.35,,true
Central/109 North Bridge Road/Funan Mall/Basement 3/Lift Lobby B,1.291599,103.849823,109 North Bridge Road,true,0,0,0.64,,true
Central/252 North Bridge Road/Raffles City/Deck B3,1.2939583,103.8526163,252 North Bridge Road,true,0,0,0.5,,true
Orchard Central Supercharger,1.3007,103.83978,"181 Orchard Rd, Singapore, Singapore, 238896",true,0,0,0.28,,true
"Nissan Showroom, Johor Jaya",1.529448,103.816505,"1, Jalan Johor Jaya, Taman Perindustrian Plentong, 81750‎ Masai, ‎Johor, Malaysia",true,0,0,0.27,,true
Hard Rock Hotel Desaru Coast,1.540211,104.264246,"Jln Pantai 3, 81930 Bandar Penawar, Johor, Malaysia",true,0,0,0.28,,true
Jade Garden Seafood Corner,1.348106,104.224009,"Lot 4785, 1 Jalan Siakap, Kampung Sungai Rengit, 81620, Pengerang, Johor",true,0,0,0.26,,true
Causeway Point Supercharger,1.436111,103.786496,"1 Woodlands Square, Singapore 738099",true,0,0,0.27,,true
"seri negeri (government building, public carpark)",1.545174,103.55988,"seri negeri (government building, public carpark)",true,0,0,0.49,,true
"Gentari @ XPark Sunway Iskandar (22 kW AC, 60 kW DC)",1.3953,103.62577,"Jalan Medini Selatan 2 Medini Zone F, Bandar Medini Iskandar, 79250 Nusajaya, Johor, Malaysia",true,0,0,0.52,,true
Waterway Point Supercharger,1.406303,103.901878,"83 Punggol Central, Singapore, Singapore, 828761",true,0,0,0.27,,true
Century Square Supercharger,1.35235,103.943846,"2 Tampines Central 5, Singapore, Singapore, 529509",true,0,0,0.27,,true
Volvo Pekin Auto,1.516984,103.674438,"PTD 144228, Taman Sutera Utama, 81300 Skudai, Johor, Malaysia",true,0,0,0.16,,true
Block 15 Woodlands Loop,1.449289,103.809175,"15 Woodlands Loop, Woodlands‎ 738322, Singapore",true,0,0,0.23,,true
Goldbell Tuas,1.321866,103.639587,"8 Tuas Avenue 18, Singapore 638892",true,0,0,0.13,,true
Four Points By Sheraton Desaru (22 kW AC),1.5761964123956436,104.20566692948341,"Jalan Kempas 2, Taman Desaru Utama, Bandar Penawar, Malaysia, 81930",true,0,0,0.41,,true
Katong V Supercharger,1.302678,103.903352,"30 East Coast Road, Singapore, Singapore, 428751",true,0,0,0.21,,true
Carros Centre,1.43148,103.75279,"60 Jln Lam Huat, Singapore 737869",true,0,0,0.13,,true
Setia Eco Garden Sales Gallery [22kWAC],1.4917392359298465,103.58541109090933,"Persiaran Lam Setia Utama, Setia Eco Garden, Gelang Patah, Johor, Malaysia",true,0,0,0.39,,true
Shell Choa Chua Kang,1.385636,103.746452,"20 Choa Chu Kang Dr, Singapore 689717",true,0,0,0.2,,true
Eikoh Roller International (S) Pte Ltd,1.290889,103.624422,45 Tuas View Loop Singapore 637699,true,0,0,0.38,,true
Petronas R&R Gelang Patah Southbound (22 kW AC),1.386627,103.593256,"LINKEDUA Malaysia - Singapura, 81550, Gelang Patah",true,0,0,0.47,,true
Hyundai Skudai Kiri,1.48965,103.711027,"Kampung Skudai Kiri, 81200 Johor Bahru, Johor, Malaysia",true,0,0,0.19,,true
Renaissance Hotel JB,1.4944408897944281,103.81149817047027,"No. 53-01 & 55, 01, Jalan Permas 10/1, Bandar Baru Permas Jaya, 81750 Masai, Johor, Malaysia",true,0,0,0.2,,true
Zenith Lifestyle Mall (11 kW AC; 50 kW DC),1.4635729,103.7622119,"82C, Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",true,0,0,0.42,,true
"EcoWorld Gallery (1 x 22 kW, 1 x 3.7 kW)",1.578823,103.722933,"81100‎ Tebrau‎ Johor, Malaysia",true,0,0,0.4,,true
Singapore Zoo,1.404922,103.78798,"Mandai Lake Road 80, 729826 Singapore",true,0,0,0.13,,true
Bedok Point,1.324702,103.932418,799 Upper Changi Road ,true,0,0,0.11,,true
ACO HQ Johor Bahru (180kW),1.535961,103.75342,"14, Jalan Firma 3, Kawasan Perindustrian Tebrau 4, 81100 Johor Bahru, Johor, Malaysia",true,0,0,0.26,,true
NTU Research Techno Plaza,1.343423,103.679373,"50 Nanyang Ave, Singapore 639798",true,0,0,0.25,,true
Petronas Pasir Gudang Highway 3 (1 x 22 kW),1.522925,103.731079,"81800‎ Kota Tinggi‎ Johore, Malaysia",true,0,0,0.43,,true
Juice+: Changi Airport Terminal 2,1.352961,103.988037,9X3Q+56 Singapore,true,0,0,0.33,,true
Tagore 23,1.386026,103.828227,"23 Tagore Ln, Singapore 787601",true,0,0,0.9,,true
Jen Johor Puteri Harbour (2 x 22 kW),1.417565,103.656614,"Persiaran Puteri Selatan, 79000 Perkampungan (Felcra) Tebing Runtuh, Johore, Malaysia",true,0,0,0.36,,true
Harvest@Woodlands by EVone Charging,1.4514023,103.7914704,"280 Woodlands Industrial Park E5, Singapore 757322",true,0,0,0.35,,true
BMW Auto Bavaria Tebrau,1.54998,103.792759,"3B, Persiaran Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",true,0,0,0.23,,true
Palkom Motors,1.530922,103.780719,"No. 1, Jalan Kota Tinggi, Batu 7 1/4, Taman Pandan, Johor, Kawasan Perindustrian Pandan, 81100 Johor Bahru, Johor, Malaysia",true,0,0,0.13,,true
Shell Dunearn University,1.323543,103.817429,"288 Dunearn Rd, Singapore 299557",true,0,0,0.24,,true
Petronas Kawasan Perindustrian Kota Puteri (22 kW AC),1.506207,103.842717,"Petronas, Kawasan Perindustrian Kota Puteri, 81750 Masai, Johor, Malaysia",true,0,0,0.53,,true
home,1.493149,103.860469,Taman Bukit Rinting ,true,0,0,0.4,,true
West Coast Plaza Supercharger,1.303732,103.76663,"154 West Coast Road, Singapore, 127371",true,0,0,0.29,,true
The Star Vista Supercharger,1.306932,103.788222,"1 Vista Exchange Green, Singapore 138617",true,0,0,0.27,,true
HSL Waterfront @ Penjuru,1.305972,103.730418,"42D Penjuru Road, Singapore 609162",true,0,0,0.24,,true
Nordcom One,1.444324,103.814023,"5a Gambas Cres, Singapore",true,0,0,0.11,,true
SICC Island SP Charger,1.35895,103.819354,"180 Island Club Rd, Singapore 578774",true,0,0,0.22,,true
Millenia Walk Supercharger,1.292254,103.859707,"9 Raffles Blvd, Singapore 039596",true,0,0,0.26,,true
Shell Boon Lay,1.343959,103.707764,"2 Boon Lay Ave, Singapore 649960",true,0,0,0.14,,true
"Sand & Sandals Resort, Desaru (MyEVOC 1x 22 kW)",1.560694,104.253109,"29, Jalan Desaru, Desaru, 82200 Bandar Penawar, Johor, Malaysia",true,0,0,0.47,,true
Shell Yishun,1.430866,103.833008,"1 Yishun Street 11, Singapore 768642",true,0,0,0.12,,true
Orchid Country Club,1.41139,103.84436,"Orchid Club Road 1, 769162 Singapore",true,0,0,0.19,,true
Shell 648 Dunearn Rd,1.3309944,103.7991123,648 Dunearn Road,true,0,0,0.2,,true
Juice+: Gain City Sungei Kadut,1.412927,103.7459779,"71 Sungei Kadut Dr, Level 2, Singapore 729577",true,0,0,0.3,,true
Biopolis,1.303518,103.792513,31 Biopolis Way Singapore 138668,true,0,0,0.8,,true
City Square Mall (2),1.3113234941054386,103.8563217359124,"180 Kitchener Rd, Singapore 208539",true,0,0,0.2,,true
Republic Plaza,1.283519,103.850595,"9 Raffles Place, Singapore 048619",true,0,0,0.14,,true
Business Aviation Complex,1.417807,103.863333,"700 West Camp Road, Singapore",true,0,0,0.25,,true
Bukit Panjang Plaza,1.379987,103.764397,"1 Jelebu Rd, Singapore 677743",true,0,0,0.19,,true
CDG Engie - Singapore University Of Social Sciences (SUSS/SIM),1.329017,103.776129,"Singapore, Clementi Rd, #463号SG",true,0,0,0.62,,true
Sembawang Country Club,1.418225,103.815461,"249 Sembawang Rd, Singapore 758352",true,0,0,0.22,,true
