id,name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active,last_updated
43156d8d-d14b-4ecd-805b-0082f3628330,"BlueSG open to EVs: Blk 31A, Eunos Crescent",1.320107,103.901609,"31A Eunos Cres, Singapore 401031",true,0,0,0.43,,true,2023-07-14 20:56:29.059062
78e4494e-3164-4ad6-8f74-bbdd1b0e58a2,"BlueSG open to EVs: BLK 241A, Bt Batok East Ave 5",1.350628,103.755377,"239 Bukit Batok East Ave 5, Block 239, Singapore 650239",true,0,0,0.49,,true,2023-07-14 20:56:29.059062
e2943bcf-e7f3-47b3-aa0c-850cd78da453,Juice+: Marina Country Club,1.415565,103.899791,11 Northshore Drive Singapore 828670,true,0,0,0.27,,true,2023-07-14 20:56:29.059062
8963fc9e-1bbc-4c56-93b9-109d7a788cf7,CDG 455A Segar Rd,1.3876904485472563,103.77133410158996,"455A Segar Rd, 新加坡 671455",true,0,0,0.17,,true,2023-07-14 20:56:29.059062
1e01a5f5-50c0-4121-b7b8-4f67320637a3,CDGE: 57A Teban Gardens Road,1.322502,103.737148,"57A Teban Gardens Rd, Singapore 601057",true,0,0,0.28,,true,2023-07-14 20:56:29.059062
bf0bad7f-2081-4630-b033-159aad71547e,BlueSG open to EVs: Blk 4 Queens Road,1.319338,103.808723,"4 Queen's Rd, Singapore 260004",true,0,0,0.37,,true,2023-07-14 20:56:29.059062
c79b8e28-452c-41d1-b4f3-4b829d041d9b,"BlueSG open to EVs: Blk 112, Bishan Street 12",1.346635,103.848961,"112 Bishan Street 12, Singapore 570112",true,0,0,0.45,,true,2023-07-14 20:56:29.059062
69dbb893-76af-489d-beca-ac47f01d9430,Charge+: Les Mains Patisserie,1.315606,103.925587,47 Jalan Tua Kong Singapore 457247,true,0,0,0.29,,true,2023-07-14 20:56:29.059062
8f370c22-7127-4f23-adc0-f0a22c530893,Shell Newton Hooper,1.311417,103.843102,"150 Bukit Timah Rd, Singapore 229846",true,0,0,0.19,,true,2023-07-14 20:56:29.059062
8d8fbe83-5cf9-4c7d-acb5-4d4602b244b5,Upper Bukit Timah Shell Recharge,1.3384474506674329,103.7769100419015,"35 Upper Bukit Timah Rd, Singapore 588166",true,0,0,0.32,,true,2023-07-14 20:56:29.059062
577e23f0-f573-4747-913e-082ca6395fde,Charge+ (in operation) (Coming Soon),1.437431,103.801205,"644A Woodlands Ring Rd, Singapore 731644",true,0,0,0.36,,true,2023-07-14 20:56:29.059062
2ad48812-4563-4d69-b884-3f3f3f035786,Techlink,1.33594,103.905571,"31 Kaki Bukit Rd 3, Singapore 417818",true,0,0,0.8,,true,2023-07-14 20:56:29.059062
9b17e1a1-671f-4103-9358-3c495f282f74,Sengkang Grand Mall,1.3818507,103.8927293,70 Compassvale Bow Singapore 544692,true,0,0,0.19,,true,2023-07-14 20:56:29.059062
1b051319-0fd1-4d01-ade3-372a5a91ecec,Up@Robertson Quay,1.290676,103.837616,"75 Robertson Quay, Singapore 238238",true,0,0,0.17,,true,2023-07-14 20:56:29.059062
b84979b0-8b0f-4639-8de8-b2697b29499e,SP Group: Rivervale Mall,1.392337,103.904346,"11 Rivervale Crescent, Singapore 545082",true,0,0,0.24,,true,2023-07-14 20:56:29.059062
91978635-23d0-4427-a677-7599db9dd1e2,"BlueSG open to EVs: Blk 334, Clementi Ave 2",1.314714,103.768249,"334 Clementi Ave 2, Singapore 120334",true,0,0,0.43,,true,2023-07-14 20:56:29.059062
0c9af0c3-9f0f-4703-8e43-fca647d29a9e,700A Pasir Ris Drive 10,1.3807763343736783,103.93853976322937,511700,true,0,0,0.23,,true,2023-07-14 20:56:29.059062
